dt	dhsl	Mode	pCa
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
0.001	0	-2	6.72034
